Date,Component,Affiliate Name,Class Name,Result,Is Personal Record,Personal Record Description,Performance Result Type,Comment,From Weightlifting Total
11/01/2017,Front Squat,Fitness Battalion,CrossFit: 18:30,1 x 1 @ 155 lbs,1,PR by 5 lbs vs. 150 on 08/30/2017,Weight,,0
10/23/2017,Split Jerk,Fitness Battalion,CrossFit: 17:30,5 x 3 @ 90 lbs,0,,Weight,,0
10/20/2017,OHS-Balance,Fitness Battalion,CrossFit: 6:30,5 x 1 @ 65 lbs,0,,Weight,,0
10/18/2017,BTN Shoulder Press,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 60 lbs,0,,Weight,,0
10/16/2017,Shoulder Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 70 lbs,0,,Weight,,0
10/13/2017,1 1/4 Back Squat,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 120 lbs,0,,Weight,,0
10/11/2017,Back Squat,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 180 lbs,1,PR by 20 lbs vs. 160 on 08/07/2017,Weight,,0
10/02/2017,Hang Muscle Snatch,Fitness Battalion,CrossFit: 12:00,5 x 3 @ 65 lbs,0,,Weight,,0
09/29/2017,Weighted Pull-ups,Fitness Battalion,CrossFit: 12:00,5 x 3 @ 0 lbs,0,,Weight,purple 13 pin small left,0
09/27/2017,Press to Push,Fitness Battalion,CrossFit: 18:30,10 x 1 @ 60 lbs,1,PR by 5 lbs vs. 55 on 08/16/2017,Weight,,0
09/25/2017,Push Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 95 lbs,0,,Weight,,0
09/25/2017,Push Jerk,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 110 lbs,0,,Weight,,0
09/22/2017,Snatch,Fitness Battalion,CrossFit: 12:00,10 x 1 @ 80 lbs,1,PR by 5 lbs vs. 75 on 09/20/2017,Weight,,0
09/20/2017,Snatch,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 75 lbs,0,,Weight,,0
09/12/2017,Clean and Jerk,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 105 lbs,0,,Weight,,0
09/08/2017,Tempo Front Squat Abs,Fitness Battalion,CrossFit: 6:30,3 x 1 @ 85 lbs,0,,Weight,,0
09/06/2017,Floor Press,Fitness Battalion,CrossFit: 17:30,10 x 5 @ 55 lbs,0,,Weight,,0
09/04/2017,Floor Press,Fitness Battalion,CrossFit: 6:30,1 x 1 @ 80 lbs,0,,Weight,,0
09/03/2017,Deadlift,Fitness Battalion,Open Gym: 10:00,1 x 1 @ 170 lbs,0,,Weight,,0
09/01/2017,Clean Lunge Squat,Fitness Battalion,CrossFit: 6:30,10 x 1 @ 85 lbs,0,,Weight,,0
08/30/2017,Front Squat,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 150 lbs,0,,Weight,,0
08/28/2017,Hang Clean,Fitness Battalion,CrossFit: 12:00,5 x 5 @ 85 lbs,0,,Weight,,0
08/21/2017,Quick Squat Clean Complex,Fitness Battalion,CrossFit: 12:00,5 x 1 @ 65 lbs,0,,Weight,,0
08/18/2017,Power Clean,Fitness Battalion,CrossFit: 17:30,5 x 5 @ 85 lbs,0,,Weight,,0
